"","Season","player_name","death_time","team_color"
"1",1,"Pecus",00:12:28,"Green"
"2",1,"Butter_Man",00:33:02,"Purple"
"3",1,"arecue",01:19:39,"Purple"
"4",1,"mattmmz123",01:23:18,"Green"
"5",1,"Jamesian",NA,"Blue"
"6",1,"Caenum",NA,"Blue"
"7",2,"Caenum",00:51:38,"Green"
"8",2,"coleam",01:05:02,"Blue"
"9",2,"Karova",01:07:00,"Yellow"
"10",2,"Enzo",01:07:02,"Blue"
"11",2,"LegoGuy162",01:15:56,"Green"
"12",2,"monkeykilling",01:22:17,"Red"
"13",2,"Toasty_boii",01:34:51,"Red"
"14",2,"arecue",NA,"Yellow"
